track_name,artist_name
Me Llamas (feat. Maluma) - Remix,Piso 21
Thinking Out Loud,Ed Sheeran
Vacaciones,Wisin
Ay Mi Dios,IAmChino
"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa
Moves,Big Sean
By Your Side,Jonas Blue
Make Me (Cry),Noah Cyrus
Love Me Now,John Legend
Skin,Rag'n'Bone Man
Redbone,Childish Gambino
I Took A Pill In Ibiza - Seeb Remix,Mike Posner
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth
Broccoli (feat. Lil Yachty),DRAM
Versace On The Floor,Bruno Mars
Romantic - NOTD Remix,Stanaj
The Other,Lauv
No Lie,Sean Paul
Cake,Flo Rida
Stressed Out,Twenty One Pilots
Oceans Away,A R I Z O N A
Me Rehúso,Danny Ocean
Ride,Twenty One Pilots
Sooner Or Later,Aaron Carter
goosebumps,Travis Scott
Some Kind Of Drug,G-Eazy
Perfect Strangers,Jonas Blue
Faded,Alan Walker
Be The One,Dua Lipa
No Problem (feat. Lil Wayne & 2 Chainz),Chance The Rapper
The Greatest,Sia
Cheap Thrills,Sia
Down,Marian Hill
Big For Your Boots,Stormzy
Love On The Brain,Rihanna
Million Reasons,Lady Gaga
Love Yourself,Justin Bieber
Shooting Stars,Bag Raiders
Dile Que Tu Me Quieres,Ozuna
Sexual,NEIKED
La Bicicleta,Carlos Vives
This Is What You Came For,Calvin Harris
"Another Day Of Sun - From ""La La Land"" Soundtrack",La La Land Cast
X (feat. Future),21 Savage
Gyal You A Party Animal - Remix,Charly Black
No Heart,21 Savage
Panda,Desiigner
Work from Home,Fifth Harmony
Too Good,Drake
Lot to Learn,Luke Christopher
Traicionera,Sebastian Yatra
"Helium - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Sia
Reminder,The Weeknd
"i hate u, i love u (feat. olivia o'brien)",gnash
Deja Vu,J. Cole
Sorry,Justin Bieber
"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne
Te Quiero Pa´Mi,Don Omar
Both (feat. Drake),Gucci Mane
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo
Location,Khalid
Fresh Eyes,Andy Grammer
Tuesday,Burak Yeter
Capsize,FRENSHIP
No Favors,Big Sean
Lose Yourself - Soundtrack Version,Eminem
7 Years,Lukas Graham
Look at Me!,XXXTENTACION
"City Of Stars - From ""La La Land"" Soundtrack/Pier",Ryan Gosling
Andas En Mi Cabeza,Chino & Nacho
Controlla,Drake
Needed Me,Rihanna
Work,Rihanna
This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs
Shout Out to My Ex,Little Mix
"Someone In The Crowd - From ""La La Land"" Soundtrack",Emma Stone
Let It Go,James Bay
Sneakin’,Drake
Send My Love (To Your New Lover),Adele
Cake By The Ocean,DNCE
Shaky Shaky,Daddy Yankee
Thumbs,Sabrina Carpenter
Hello,Adele
Lean On (feat. MØ & DJ Snake),Major Lazer
Shape of You - Stormzy Remix,Ed Sheeran
Chill Bill,Rob $tone
DUELE EL CORAZON,Enrique Iglesias
"Bom Bidi Bom - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",Nick Jonas
"Audition (The Fools Who Dream) - From ""La La Land"" Soundtrack",Emma Stone
"Mia & Sebastian’s Theme - From ""La La Land"" Soundtrack",Justin Hurwitz
Radioactive,Imagine Dragons
Everyday,Ariana Grande
Shape of You (Major Lazer Remix) [feat. Nyla & Kranium],Ed Sheeran
Kelly Price (feat. Travis Scott),Migos
'Till I Collapse,Eminem
Sé Que Te Duele,Alejandro Fernandez
I Miss You,Grey
Stay With Me,Sam Smith
Magic,Thomas Gold
Way Down We Go,Kaleo
Losin Control,Russ
Look At Me!,XXXTENTACION
Green Light,Lorde
Final Song,MØ
Galway Girl,Ed Sheeran
Dive,Ed Sheeran
Perfect,Ed Sheeran
Eraser,Ed Sheeran
What Do I Know?,Ed Sheeran
New Man,Ed Sheeran
Happier,Ed Sheeran
Hearts Don't Break Around Here,Ed Sheeran
Supermarket Flowers,Ed Sheeran
Barcelona,Ed Sheeran
Bibia Be Ye Ye,Ed Sheeran
Nancy Mulligan,Ed Sheeran
Save Myself,Ed Sheeran
Hypnotised,Coldplay
Talk About It,Mike Perry
Don't,Ed Sheeran
Feel Good (feat. Daya),Gryffin
I See Fire,Ed Sheeran
Tenerife Sea,Ed Sheeran
Shape of You - Acoustic,Ed Sheeran
Sigo Extrañándote,J Balvin
The A Team,Ed Sheeran
Alguien Robo,Sebastian Yatra
Lumbra,Cali Y El Dandee
No Frauds,Nicki Minaj
Liability,Lorde
Waterfall,Stargate
Breathe,Astrid S
Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version,Pitbull
Chanel,Frank Ocean
As I Lay Me Down,Wiktoria
